file,status,metode,panjang
putusan_1005_pdt.p_2025_pn_tng_20260627213325.pdf,berhasil,pdfplumber,16811
putusan_114_pdt.p_2026_pn_mpw_20260627210712.pdf,berhasil,pdfplumber,11024
putusan_120_pdt.p_2026_pn_rbi_20260627210225.pdf,berhasil,pdfplumber,39999
putusan_122_pdt.p_2026_pn_rbi_20260627210319.pdf,berhasil,pdfplumber,39999
putusan_128_pdt.p_2026_pn_rbi_20260627210328.pdf,berhasil,pdfplumber,37405
putusan_131_pdt.p_2026_pn_rbi_20260627210109.pdf,berhasil,pdfplumber,30244
putusan_139_pdt.p_2026_pn_mpw_20260627210627.pdf,berhasil,pdfplumber,37096
putusan_141_pdt.p_2026_pn_mpw_20260627210444.pdf,berhasil,pdfplumber,41603
putusan_142_pdt.p_2026_pn_jmr_20260627213433.pdf,berhasil,pdfplumber,23668
putusan_142_pdt.p_2026_pn_mpw_20260627210930.pdf,berhasil,pdfplumber,46114
putusan_143_pdt.p_2026_pn_mpw_20260627210529.pdf,berhasil,pdfplumber,42257
putusan_144_pdt.g_2026_pn_tnn_20260627212121.pdf,berhasil,pdfplumber,45174
putusan_1454_pdt.p_2026_pn_sby_20260627213330.pdf,berhasil,pdfplumber,31745
putusan_145_pdt.g_2025_pn_pso_20260627212216.pdf,berhasil,pdfplumber,39928
putusan_148_pdt.p_2026_pn_jmr_20260627213516.pdf,berhasil,pdfplumber,29414
putusan_149_pdt.p_2026_pn_jmr_20260627213430.pdf,berhasil,pdfplumber,22044
putusan_151_pdt.p_2026_pn_mpw_20260626170639.pdf,berhasil,pdfplumber,28990
putusan_154_pdt.p_2026_pn_jmr_20260627213544.pdf,berhasil,pdfplumber,18333
putusan_155_pdt.g_2025_pn_pso_20260627212900.pdf,berhasil,pdfplumber,56689
putusan_158_pdt.p_2026_pn_jmr_20260627213534.pdf,berhasil,pdfplumber,23387
putusan_1613_pdt.p_2026_pn_sby_20260626212845.pdf,berhasil,pdfplumber,21447
putusan_161_pdt.p_2026_pn_jmr_20260627213541.pdf,berhasil,pdfplumber,13517
putusan_173_pdt.p_2026_pn_ckr_20260627205836.pdf,berhasil,pdfplumber,10845
putusan_177_pdt.g_2025_pn_tng_20260627213015.pdf,berhasil,pdfplumber,52232
putusan_194_pdt.p_2026_pn_ckr_20260627205826.pdf,berhasil,pdfplumber,11307
putusan_198_pdt.g_2025_pn_pso_20260627212410.pdf,berhasil,pdfplumber,46045
putusan_198_pdt.p_2026_pn_ckr_20260627205935.pdf,berhasil,pdfplumber,41585
putusan_200_pdt.g_2025_pn_pso_20260627212319.pdf,berhasil,pdfplumber,57150
putusan_203_pdt.p_2026_pn_ckr_20260627205747.pdf,berhasil,pdfplumber,34654
putusan_21_pdt.g_2026_pn_rkb_20260627210012.pdf,berhasil,pdfplumber,47196
putusan_231_pdt.g_2026_pn_tnn_20260627212038.pdf,berhasil,pdfplumber,40445
putusan_266_pdt.g_2025_pn_pso_20260627125608.pdf,berhasil,pdfplumber,47445
putusan_27_pdt.g_2026_pn_pso_20260627212945.pdf,berhasil,pdfplumber,49220
putusan_290_pdt.g_2025_pn_tng_20260627213312.pdf,berhasil,pdfplumber,35063
putusan_298_pdt.p_2026_pn_tnn_20260627212128.pdf,berhasil,pdfplumber,19208
putusan_33_pdt.g.s_2026_pn_ckr_20260627210005.pdf,berhasil,pdfplumber,23676
putusan_345_pdt.g_2025_pn_ckr_20260627205942.pdf,berhasil,pdfplumber,40627
putusan_35_pdt.g_2026_pn_pso_20260627212525.pdf,berhasil,pdfplumber,32962
putusan_36_pdt.g_2026_pn_pso_20260627212402.pdf,berhasil,pdfplumber,44371
putusan_46_pdt.p_2026_pn_tdn_20260627210415.pdf,berhasil,pdfplumber,30565
putusan_50_pdt.g_2026_pn_mpw_20260627210542.pdf,berhasil,pdfplumber,19150
putusan_51_pdt.g_2026_pn_mpw_20260627210758.pdf,berhasil,pdfplumber,46029
putusan_55_pdt.g_2026_pn_jmr_20260627213449.pdf,berhasil,pdfplumber,45185
putusan_563_pdt.g_2024_pn_tng_20260627213039.pdf,berhasil,pdfplumber,47577
putusan_65_pdt.g_2026_pn_pso_20260627212303.pdf,berhasil,pdfplumber,36823
putusan_69_pdt.p_2026_pn_mtr_20260627210025.pdf,berhasil,pdfplumber,33127
putusan_761_pdt.g_2025_pn_tng_20260627211741.pdf,berhasil,pdfplumber,40768
putusan_787_pdt.p_2025_pn_tng_20260627211843.pdf,berhasil,pdfplumber,21288
putusan_79_pdt.g_2026_pn_pso_20260627212315.pdf,berhasil,pdfplumber,42617
putusan_88_pdt.g_2026_pn_jmr_20260627213420.pdf,berhasil,pdfplumber,24991
putusan_910_pdt.p_2025_pn_tng_20260627211753.pdf,berhasil,pdfplumber,25218
putusan_920_pdt.p_2025_pn_tng_20260627213320.pdf,berhasil,pdfplumber,34651
putusan_956_pdt.p_2025_pn_tng_20260627213128.pdf,berhasil,pdfplumber,28317
putusan_983_pdt.p_2025_pn_tng_20260627213043.pdf,berhasil,pdfplumber,5455
putusan_984_pdt.p_2025_pn_tng_20260627130258.pdf,berhasil,pdfplumber,5155
